paper_id,openalex_id,doi,title,pdf_downloaded,tei_downloaded,source_used,license,download_error,file_size_bytes,sha256,needs_manual_review
P001,https://openalex.org/W2975558816,https://doi.org/10.2352/issn.2470-1173.2019.5.mwsf-532,Detecting GAN generated Fake Images using Co-occurrence Matrices,True,False,manifest_pdf_url,unknown,,143110,5b0edc8ef124759bb49c03d1bd9596e3cc5bda66a7c9f8b36fbbb8caf6a55fc6,False
P002,https://openalex.org/W4389370799,https://doi.org/10.1109/ojsp.2023.3337714,Synthbuster: Towards Detection of Diffusion Model Generated Images,True,False,manifest_pdf_url,unknown,,10808699,6e6142f3e5ee2f6c46b04902cc50a851375ab195f158139442d4db2bcc9e96c2,False
P003,https://openalex.org/W4380993529,https://doi.org/10.48550/arxiv.2306.08571,GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image,True,False,manifest_pdf_url,unknown,,1011801,48e81ad6c7f6ab31292c49423e7c76b2ae7a1a33300dec1e6d549d00fa531d56,False
P004,https://openalex.org/W4327810824,https://doi.org/10.48550/arxiv.2303.09295,DIRE for Diffusion-Generated Image Detection,True,False,manifest_pdf_url,unknown,,4102079,18575519277709abc9a6f5e6a73fd409d79a8287ddcbd3408cffb250d6191767,False
P005,https://openalex.org/W4415343382,https://doi.org/10.48550/arxiv.2507.02664,AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,True,False,manifest_pdf_url,unknown,,18241208,ce2de9c28c00b201f10acec79a73c177f8021ecdab25d4351353b4f6fa9e7e1b,False
P006,https://openalex.org/W4414979736,https://doi.org/10.48550/arxiv.2510.05891,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,True,False,manifest_pdf_url,unknown,,1485913,d55681f49da21129af455a4afb16d7ef2d0de0aaa967fc723d3c6e436d8edb27,False
P007,https://openalex.org/W2995695852,https://doi.org/10.48550/arxiv.1912.11035,CNN-generated images are surprisingly easy to spot... for now,True,False,manifest_pdf_url,unknown,,7610702,b09820c4281dffd7b750508d2c00eeef8031279b50ba3b0fdaaa76680656e054,False
P008,https://openalex.org/W4416184934,https://doi.org/10.48550/arxiv.2511.08423,OmniAID: Decoupling Semantic and Artifacts for Universal AI-Generated Image Detection in the Wild,True,False,manifest_pdf_url,unknown,,11381004,34de44caa79dedcc42c7555dd9fe42240cd444068ac51a99b889307673a74abc,False
P009,https://openalex.org/W4321471472,https://doi.org/10.48550/arxiv.2302.10174,Towards Universal Fake Image Detectors that Generalize Across Generative Models,True,False,manifest_pdf_url,unknown,,7248612,e362762c1c626690876d4603bc886cfb9f5a7591bc7d06749dea448a7ef419be,False
P010,https://openalex.org/W4405255122,https://doi.org/10.48550/arxiv.2412.07140,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,True,False,manifest_pdf_url,unknown,,4752066,a7a775d8ae1283e246b52b0ff6b2a9b3acdaf589a829a2941948d96553deb4cc,False
P011,https://openalex.org/W4386075954,https://doi.org/10.1109/cvpr52729.2023.01165,Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection,False,False,,unknown,No accessible documents found,0,,True
P012,https://openalex.org/W4402915983,https://doi.org/10.1109/cvprw63382.2024.00439,Raising the Bar of AI-generated Image Detection with CLIP,False,False,,unknown,No accessible documents found,0,,True
