claim_id,paper_id,claim_type,entity,value_numeric,unit,normalized_value,benchmark,metric,condition,evidence_anchor,raw_text,confidence
C00001,P016,sota_claim,CNN,,,,,,section:abstract,section:abstract,state-of-the-art,0.8
C00002,P016,architecture_type,CNN,,,,,,section:abstract,section:abstract,cnn,0.8
C00003,P016,dataset_size,VIT,2000.0,,2000.0,,,section:dataset,section:dataset,"2,000
images",0.8
C00004,P016,dataset_size,VIT,2000.0,,2000.0,,,section:dataset,section:dataset,"2,000 images",0.8
C00005,P016,sota_claim,VIT,,,,,,section:dataset,section:dataset,state-of-the-art,0.8
C00006,P016,augmentation_flag,VIT,,,,,,section:dataset,section:dataset,data augmentation,0.8
C00007,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,vit,0.8
C00008,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,vit,0.8
C00009,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,vit,0.8
C00010,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00011,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00012,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00013,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00014,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00015,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00016,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00017,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00018,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00019,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00020,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00021,P016,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00022,P016,model_size,CNN,17.0,,17.0,,,section:experiment,section:experiment,17 model,0.8
C00023,P016,model_size,CNN,8.0,,8.0,,,section:experiment,section:experiment,8 model,0.8
C00024,P016,model_size,CNN,9.0,,9.0,,,section:experiment,section:experiment,9 model,0.8
C00025,P016,sota_claim,CNN,,,,,,section:experiment,section:experiment,best performance,0.8
C00026,P016,architecture_type,CNN,,,,,,section:experiment,section:experiment,cnn,0.8
C00027,P016,model_size,CNN,9.0,,9.0,,,section:conclusion,section:conclusion,9 model,0.8
C00028,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,state-of-the-art,0.8
C00029,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,state-of-the-art,0.8
C00030,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,achieves,0.8
C00031,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,achieves,0.8
C00032,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,achieves,0.8
C00033,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,achieves,0.8
C00034,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,achieves,0.8
C00035,P016,sota_claim,CNN,,,,,,section:conclusion,section:conclusion,achieves,0.8
C00036,P016,architecture_type,CNN,,,,,,section:conclusion,section:conclusion,cnn,0.8
C00037,P016,architecture_type,CNN,,,,,,section:references,section:references,cnn,0.8
C00038,P016,architecture_type,CNN,,,,,,section:references,section:references,cnn,0.8
C00039,P017,architecture_type,CNN,,,,,,section:unknown,section:unknown,cnn,0.8
C00040,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00041,P017,sota_claim,CNN,,,,,,section:dataset,section:dataset,state-of-the-art,0.8
C00042,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00043,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00044,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00045,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00046,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00047,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00048,P017,augmentation_flag,VIT,,,,,,section:dataset,section:dataset,crop,0.8
C00049,P017,architecture_type,VIT,,,,,,section:dataset,section:dataset,vit,0.8
C00050,P017,architecture_type,VIT,,,,,,section:dataset,section:dataset,resnet,0.8
C00051,P017,architecture_type,VIT,,,,,,section:dataset,section:dataset,cnn,0.8
C00052,P017,architecture_type,RESNET,,,,,,section:dataset,section:dataset,resnet,0.8
C00053,P017,sota_claim,CNN,,,,,,section:dataset,section:dataset,achieves,0.8
C00054,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00055,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00056,P017,sota_claim,CNN,,,,,,section:dataset,section:dataset,state-of-the-art,0.8
C00057,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00058,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00059,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00060,P017,sota_claim,RESNET,,,,,,section:dataset,section:dataset,state-of-the-art,0.8
C00061,P017,architecture_type,RESNET,,,,,,section:dataset,section:dataset,resnet,0.8
C00062,P017,architecture_type,RESNET,,,,,,section:dataset,section:dataset,resnet,0.8
C00063,P017,architecture_type,CLIP,,,,,,section:dataset,section:dataset,clip,0.8
C00064,P017,architecture_type,CLIP,,,,,,section:dataset,section:dataset,clip,0.8
C00065,P017,architecture_type,CLIP,,,,,,section:dataset,section:dataset,clip,0.8
C00066,P017,sota_claim,CLIP,,,,,,section:discussion,section:discussion,state-of-the-art,0.8
C00067,P017,architecture_type,CLIP,,,,,,section:discussion,section:discussion,clip,0.8
C00068,P017,architecture_type,RESNET,,,,,,section:dataset,section:dataset,resnet,0.8
C00069,P017,architecture_type,RESNET,,,,,,section:references,section:references,resnet,0.8
C00070,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00071,P017,architecture_type,CNN,,,,,,section:dataset,section:dataset,cnn,0.8
C00072,P079,dataset_size,VIT,70000.0,,70000.0,,,section:unknown,section:unknown,"70,000 images",0.8
C00073,P079,sota_claim,VIT,,,,,,section:unknown,section:unknown,state-of-the-art,0.8
C00074,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,vit,0.8
C00075,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,clip,0.8
C00076,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,resnet,0.8
C00077,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,resnet,0.8
