paper_id,title,year,datasets,models,generator_families,metrics,distortions,robustness_conditions,method_keywords,entity_count,result_tuple_count
P069,Unknown,Unknown,"COCO, ImageNet","CLIP, CNN, ConvNeXt, EfficientNet, ResNet, Xception","BigGAN, DALL-E, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AUC, accuracy, balanced accuracy","JPEG, compression",compressed,"attribution, co-occurrence, frequency, generalizable, spectral, zero-shot",99,2
C115,Unknown,Unknown,ArtiFact,"CNN, ResNet","GAN, StyleGAN","accuracy, precision","JPEG, compression, watermark","compressed, degradation, robustness, social media","artifact, attribution, frequency, localization, spectral",83,0
P005,Unknown,Unknown,"ArtiFact, COCO, DiffusionDB, FakeBench, GenImage, WildFake","CLIP, CNN, InstructBLIP, LLaVA, MLLM, ResNet, ViT","BigGAN, Flux, GAN, Midjourney, ProGAN, SDXL, StyleGAN, autoregressive, diffusion, latent diffusion","AP, acc, accuracy, precision","JPEG, blur, compression, downsampling, perturbation, resize","degradation, robustness, social media","DIRE, artifact, attribution, frequency, generalizable, localization, reconstruction error",278,10
C461,Unknown,Unknown,"CIFAKE, ForenSynths, GenImage, ImageNet, UniversalFakeDetect","CLIP, CNN, ResNet, Swin, ViT, Vision Transformer","BigGAN, DALL-E, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AP, acc, accuracy, precision","JPEG, blur, compression","cross-domain, cross-generator, degradation, robustness","DIRE, co-occurrence, frequency, zero-shot",228,14
C468,Unknown,Unknown,ImageNet,"CLIP, CNN, ResNet, ViT, Vision Transformer","GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AUC, F1, accuracy, precision, recall","JPEG, blur, compression, crop, downsampling, resize, watermark","in-the-wild, social media","attribution, co-occurrence, frequency, generalizable, spectral, spectrum",145,10
C414,Unknown,Unknown,,"CNN, ResNet","GAN, StyleGAN, autoregressive","F1, accuracy","JPEG, blur, compression, resize","compressed, robustness, social media",,102,9
C457,Unknown,Unknown,ImageNet,"CNN, ConvNeXt, DINO, ResNet, Swin, Vision Transformer",diffusion,"AP, AUC, F1, acc, accuracy","JPEG, blur, resize",robustness,"attribution, frequency, localization, spectral",131,1
C460,Unknown,Unknown,"ArtiFact, CIFAKE, COCO, DiffusionDB, GenImage, ImageNet, LAION, WildFake","CLIP, CNN, MAE, ResNet, ViT","BigGAN, GAN, Midjourney, StyleGAN, diffusion","AP, AUC, acc, accuracy, precision","JPEG, compression, crop, watermark","cross-domain, cross-generator, degradation, robustness","DIRE, artifact, attribution, frequency, generalizable, localization, spectrum",275,0
P029,Unknown,Unknown,"ImageNet, LAION","CLIP, CNN, EfficientNet, Swin, Vision Transformer","DALL-E, GAN, Stable Diffusion, StyleGAN, diffusion","AP, accuracy",,,"attribution, localization, zero-shot",173,0
P017,Unknown,Unknown,ArtiFact,"CNN, ResNet","GAN, StyleGAN, autoregressive","EER, accuracy",compression,social media,"artifact, attribution, frequency, spectral, spectrum",77,1
P007,Unknown,Unknown,"ArtiFact, COCO, ForenSynths, ImageNet","CNN, ResNet","BigGAN, GAN, ProGAN, StyleGAN","AP, accuracy, precision, recall","JPEG, blur, compression, crop, downsampling, perturbation, resize","compressed, cross-generator, in-the-wild, robustness","artifact, co-occurrence, frequency, localization, spectrum",390,9
C130,Unknown,Unknown,,"CNN, Xception","GAN, diffusion","AP, AUC, acc, accuracy","Gaussian noise, JPEG, blur, compression, perturbation, resize, watermark","cross-domain, degradation, robustness","attribution, localization",276,17
P048,Unknown,Unknown,"COCO, ImageNet, LAION, Synthbuster","BLIP, CLIP, CNN, ResNet, ViT","BigGAN, DALL-E, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AUC, accuracy, balanced accuracy","JPEG, compression, downsampling","compressed, robustness","CLIP-based, DIRE, attribution, frequency, generalizable, reconstruction error, spectral, zero-shot",310,3
P036,Unknown,Unknown,Celeb-DF,"CLIP, CNN, EfficientNet, ResNet, Swin, ViT, Vision Transformer, Xception","GAN, StyleGAN, diffusion","AP, AUC","compression, crop","cross-domain, degradation, robustness","DIRE, frequency, localization, spectral, zero-shot",125,0
P060,Unknown,Unknown,"AI-GenBench, ArtiFact, COCO, ForenSynths, GenImage, ImageNet, LAION, Synthbuster, WildFake","CLIP, CNN, DINOv2, ResNet, ViT","BigGAN, DALL-E, Flux, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AUROC, accuracy","compression, crop, resize",robustness,"artifact, generalizable, reconstruction error",241,0
P061,Unknown,Unknown,"COCO, ImageNet, LAION, Synthbuster","CLIP, CNN, ResNet, ViT","BigGAN, DALL-E, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, acc, accuracy, precision","JPEG, blur, compression","compressed, robustness","CLIP-based, DIRE, frequency, generalizable, spectrum, zero-shot",334,3
C465,Unknown,Unknown,"CIFAKE, ImageNet","CNN, ResNet",,"AUC, F1, ROC-AUC, accuracy, precision, recall","crop, resize",robustness,,123,14
P030,Unknown,Unknown,"ArtiFact, Celeb-DF, LAION","CLIP, EfficientNet, VLM, ViT, Vision Transformer, Xception",,"AUC, EER","perturbation, resize",cross-domain,"CLIP-based, artifact, attribution, frequency, generalizable, zero-shot",107,0
P027,Unknown,Unknown,,"CNN, MAE, ResNet","Stable Diffusion, diffusion, latent diffusion","AUC, F1, accuracy, precision, recall",,degradation,,149,28
P010,Unknown,Unknown,"ArtiFact, ImageNet, LAION","CLIP, CNN, InstructBLIP, ResNet","DALL-E, Midjourney, SDXL, Stable Diffusion, diffusion, latent diffusion","AP, AUC, acc, accuracy","JPEG, blur, compression, crop, perturbation","degradation, robustness","DIRE, FIRE, artifact, frequency, generalizable, localization, reconstruction error, spectral, spectrum",317,5
P070,Unknown,Unknown,ImageNet,"BLIP, CLIP, CNN, ResNet, VLM, ViT, Vision Transformer, Xception","DALL-E, GAN, Midjourney, diffusion, latent diffusion","AP, F1, acc, accuracy, precision, recall",,robustness,"DIRE, attribution, zero-shot",104,7
C044,Unknown,Unknown,"ArtiFact, Celeb-DF, ImageNet","CNN, ResNet, Xception","GAN, ProGAN, StyleGAN","AUC, EER, F1, accuracy, precision, recall","JPEG, blur, compression, crop, downsampling, perturbation","compressed, robustness, social media","DIRE, artifact, attribution, frequency, localization, spectral, spectrum",303,18
P025,Unknown,Unknown,ImageNet,"CNN, EfficientNet, ResNet",GAN,"acc, accuracy",compression,,frequency,40,3
C101,Unknown,Unknown,"ArtiFact, Celeb-DF","CLIP, CNN, EfficientNet, ResNet, ViT, Vision Transformer","GAN, ProGAN, Stable Diffusion, StyleGAN, diffusion","AP, AUC, F1, acc, accuracy, precision, recall",compression,"compressed, degradation, in-the-wild, robustness","artifact, frequency, generalizable, spectral, spectrum",400,53
P084,Unknown,Unknown,"ArtiFact, Celeb-DF, ImageNet","CNN, ResNet, Xception","GAN, ProGAN, StyleGAN","F1, accuracy, precision, recall","JPEG, blur, compression","in-the-wild, social media",artifact,113,5
P026,Unknown,Unknown,"ArtiFact, ImageNet","CLIP, CNN, ResNet","GAN, StyleGAN, diffusion, latent diffusion","AP, AUC, accuracy","JPEG, compression, crop, resize",robustness,"artifact, attribution, co-occurrence, frequency, generalizable, spectrum",106,1
C093,Unknown,Unknown,"ArtiFact, Celeb-DF, ImageNet","CNN, EfficientNet, MAE, ResNet, ViT, Vision Transformer, Xception","GAN, StyleGAN, diffusion","AUC, AUROC, F1, acc, accuracy, precision, recall","JPEG, compression, perturbation, watermark","compressed, robustness, social media","artifact, attribution, frequency",136,15
P044,Unknown,Unknown,ArtiFact,"CNN, ViT","GAN, StyleGAN, diffusion","AP, accuracy",Gaussian noise,,"artifact, frequency, spectral, spectrum",279,1
P003,Unknown,Unknown,"CIFAKE, DiffusionDB, GenImage, ImageNet, LAION","CNN, ResNet, Swin","BigGAN, GAN, Midjourney, ProGAN, Stable Diffusion, diffusion, latent diffusion","acc, accuracy","JPEG, blur, compression","compressed, cross-generator, degradation, robustness","FIRE, attribution, frequency, generalizable, spectral, spectrum",339,6
