paper_id,title,year,datasets,models,generator_families,metrics,distortions,robustness_conditions,method_keywords,entity_count,result_tuple_count
P074,Unknown,Unknown,"COCO, ImageNet, LAION, Synthbuster","BLIP, CLIP, CNN, ResNet, ViT","BigGAN, DALL-E, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AUC, accuracy, balanced accuracy","JPEG, compression, downsampling","compressed, robustness","CLIP-based, DIRE, attribution, frequency, generalizable, reconstruction error, spectral, zero-shot",310,3
P093,Unknown,Unknown,"GenImage, ImageNet","CLIP, CNN, ViT, Xception","BigGAN, Flux, Midjourney, SDXL, Stable Diffusion, diffusion, latent diffusion","AP, acc, accuracy, precision","Gaussian noise, crop, perturbation, resize","cross-generator, degradation, in-the-wild, robustness","CLIP-based, DIRE, frequency, generalizable, spectrum",346,16
P054,Unknown,Unknown,,CNN,"StyleGAN, diffusion","F1, accuracy, precision, recall",compression,"cross-domain, robustness","frequency, spectrum",100,0
P076,Unknown,Unknown,"ArtiFact, CIFAKE, DiffusionDB, FakeBench, GenImage, WildFake","BLIP, CLIP, CNN, EVA, InstructBLIP, LLaVA, ViT","GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","acc, accuracy, precision, recall",,,"DIRE, artifact, attribution, frequency, generalizable, localization, spectrum, zero-shot",267,1
P075,Unknown,Unknown,"GenImage, ImageNet","CLIP, CNN, DINOv2, ResNet, ViT, Vision Transformer","BigGAN, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AP, AUC, accuracy, precision","Gaussian noise, JPEG, blur, compression, perturbation","compressed, degradation, robustness","DIRE, attribution, co-occurrence, frequency, localization, reconstruction error, spectrum",309,3
P042,Unknown,Unknown,,"CNN, ResNet","DALL-E, GAN, Midjourney, StyleGAN, diffusion","AP, AUC, F1, accuracy, precision, recall","blur, compression, perturbation","cross-domain, robustness, social media","attribution, co-occurrence, spectral, spectrum",156,7
P078,Unknown,Unknown,LAION,"CLIP, CNN, ViT, Xception","DALL-E, GAN, Midjourney, Stable Diffusion, diffusion, latent diffusion","AP, AUC, accuracy, precision","JPEG, compression, perturbation, resize",robustness,"CLIP-based, FIRE, attribution, frequency, reconstruction error, spectral, spectrum",142,2
P077,Unknown,Unknown,"ArtiFact, CIFAKE, COCO, DiffusionDB, GenImage, ImageNet, WildFake","CLIP, CNN, ConvNeXt, ResNet, Swin, ViT, Vision Transformer","BigGAN, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, F1, acc, accuracy, precision","JPEG, blur, compression, perturbation","degradation, robustness, social media","DIRE, artifact, co-occurrence, frequency, generalizable, reconstruction error, spectrum, zero-shot",336,6
P022,Unknown,Unknown,"ArtiFact, COCO, DeepFakeDetection, ForenSynths, ImageNet","CNN, Xception","BigGAN, GAN, ProGAN, StyleGAN","AP, acc, accuracy, precision",perturbation,"compressed, robustness","artifact, frequency, generalizable, localization, spectral, spectrum, universal detector",262,5
P002,Unknown,Unknown,"ArtiFact, Synthbuster","CLIP, CNN","GAN, Midjourney, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AUROC, F1, accuracy","JPEG, compression","compressed, robustness","artifact, attribution, frequency, spectral",403,270
P090,Unknown,Unknown,"ArtiFact, COCO, VCT2","CLIP, CNN, ResNet, ViT","DALL-E, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, diffusion, latent diffusion","AP, F1, acc, accuracy, precision, recall","JPEG, blur, compression, watermark","compressed, cross-domain, degradation, robustness","CLIP-based, DIRE, artifact, attribution, co-occurrence, frequency, generalizable, localization, spectral, spectrum, zero-shot",299,1
P080,Unknown,Unknown,"ArtiFact, ForenSynths","CNN, ResNet","GAN, ProGAN, diffusion","AP, acc, accuracy","JPEG, compression, perturbation","compressed, cross-domain, robustness, social media","DIRE, artifact, frequency, generalizable, spectrum",224,12
P040,Unknown,Unknown,,"CNN, MAE, ResNet","Stable Diffusion, diffusion, latent diffusion","AUC, F1, accuracy, precision, recall",,degradation,,149,28
