paper_id,title,year,total_sections,total_chars,has_abstract,has_intro,has_method,has_experiment,has_results,has_limitations,unknown_section_count
P016,Unknown,Unknown,7,45911,True,False,False,True,False,False,1
P017,Unknown,Unknown,29,122789,False,True,False,False,False,False,1
P079,Unknown,Unknown,4,52569,False,False,True,False,False,False,1
P080,Unknown,Unknown,4,46416,True,False,False,False,False,False,1
P081,Unknown,Unknown,13,41847,True,True,True,False,True,False,1
P007,Unknown,Unknown,12,59390,True,True,False,True,True,False,1
P084,Unknown,Unknown,9,48263,False,True,True,False,True,False,1
P003,Unknown,Unknown,8,38045,True,True,False,False,True,False,1
P022,Unknown,Unknown,37,102946,True,True,True,True,True,False,1
P026,Unknown,Unknown,12,42096,True,True,True,True,True,False,1
P025,Unknown,Unknown,6,19669,False,True,True,False,True,False,1
P027,Unknown,Unknown,12,57705,False,True,True,True,False,False,1
P100,Unknown,Unknown,23,173742,False,True,True,False,True,False,0
P029,Unknown,Unknown,8,49847,True,True,True,False,True,False,1
P030,Unknown,Unknown,7,46281,True,False,True,False,False,False,1
P031,Unknown,Unknown,8,35535,True,True,True,False,True,False,1
P032,Unknown,Unknown,8,36302,False,True,False,True,False,False,0
P033,Unknown,Unknown,4,47450,True,False,False,False,False,False,1
P035,Unknown,Unknown,4,44956,True,False,True,False,True,False,1
P037,Unknown,Unknown,5,30141,True,True,False,False,True,False,1
P036,Unknown,Unknown,12,82614,False,True,True,True,True,False,1
P038,Unknown,Unknown,14,67604,False,False,True,True,True,False,1
P034,Unknown,Unknown,5,56144,False,False,False,True,False,False,1
P009,Unknown,Unknown,13,75215,True,True,True,True,True,False,1
P040,Unknown,Unknown,9,67791,True,True,True,True,True,False,1
P042,Unknown,Unknown,5,41463,False,True,True,False,True,False,1
P041,Unknown,Unknown,2,36159,False,True,False,False,False,False,1
P044,Unknown,Unknown,7,41083,True,True,False,True,False,False,1
P004,Unknown,Unknown,8,53964,True,True,True,True,True,False,1
P043,Unknown,Unknown,8,62358,False,False,False,True,True,False,1
P045,Unknown,Unknown,10,78236,True,True,False,True,True,False,1
P046,Unknown,Unknown,6,42529,False,True,True,False,False,False,1
P047,Unknown,Unknown,31,82685,True,True,True,True,False,False,1
